Taxa,source,type,relabund
Archaea-Euryarchaeota,EMw4,tubeworm-associated,0.0015
Bacteria-Patescibacteria,EMw4,tubeworm-associated,0.0284
Bacteria-Chloroflexi,EMw4,tubeworm-associated,0.0103
Eukaryota-Alveolata,EMw4,tubeworm-associated,0.0015
Eukaryota-Rhizaria,EMw4,tubeworm-associated,0.0027
Bacteria,EMw4,tubeworm-associated,0.0314
Bacteria-Actinobacteria,EMw4,tubeworm-associated,0
Bacteria-Proteobacteria,EMw4,tubeworm-associated,0.0029
Bacteria-Betaproteobacteriales,EMw4,tubeworm-associated,0
Eukaryota-Opisthokonta,EMw4,tubeworm-associated,0.0019
Eukaryota,EMw4,tubeworm-associated,0.0074
Archaea-Asgardaeota,EMw4,tubeworm-associated,0
Bacteria-Acidobacteria,EMw4,tubeworm-associated,0.0002
Eukaryota-Amoebozoa,EMw4,tubeworm-associated,0.0001
Bacteria-Aquificae,EMw4,tubeworm-associated,0.001
Archaea-Crenarchaeota,EMw4,tubeworm-associated,0
Bacteria-Other,EMw4,tubeworm-associated,0.0008
Archaea-Other,EMw4,tubeworm-associated,0.0009
Eukaryota-Other,EMw4,tubeworm-associated,0.0021
Bacteria-Gammaproteobacteria,EMw7,tubeworm-associated,0.0028
Bacteria-Alphaproteobacteria,EMw7,tubeworm-associated,0.0008
Bacteria-Bacteroidetes,EMw7,tubeworm-associated,0.3262
Bacteria-Epsilonbacteraeota,EMw7,tubeworm-associated,0.5224
Bacteria-Deltaproteobacteria,EMw7,tubeworm-associated,0.0215
Archaea-Thaumarchaeota,EMw7,tubeworm-associated,0
Archaea-Euryarchaeota,EMw7,tubeworm-associated,0.0006
Bacteria-Patescibacteria,EMw7,tubeworm-associated,0.0244
Bacteria-Chloroflexi,EMw7,tubeworm-associated,0.0268
Eukaryota-Alveolata,EMw7,tubeworm-associated,0.0009
Eukaryota-Rhizaria,EMw7,tubeworm-associated,0.0002
Bacteria,EMw7,tubeworm-associated,0.0527
Bacteria-Actinobacteria,EMw7,tubeworm-associated,0
Bacteria-Proteobacteria,EMw7,tubeworm-associated,0.0083
Bacteria-Betaproteobacteriales,EMw7,tubeworm-associated,0.0001
Eukaryota-Opisthokonta,EMw7,tubeworm-associated,0.0034
Eukaryota,EMw7,tubeworm-associated,0.0037
Archaea-Asgardaeota,EMw7,tubeworm-associated,0
Bacteria-Acidobacteria,EMw7,tubeworm-associated,0.0001
Eukaryota-Amoebozoa,EMw7,tubeworm-associated,0.0001
Bacteria-Aquificae,EMw7,tubeworm-associated,0.0001
Archaea-Crenarchaeota,EMw7,tubeworm-associated,0
Bacteria-Other,EMw7,tubeworm-associated,0.0041
Archaea-Other,EMw7,tubeworm-associated,0.0003
Eukaryota-Other,EMw7,tubeworm-associated,0.0004
Bacteria-Gammaproteobacteria,EMw8,tubeworm-associated,0.0048
Bacteria-Alphaproteobacteria,EMw8,tubeworm-associated,0.0015
Bacteria-Bacteroidetes,EMw8,tubeworm-associated,0.2329
Bacteria-Epsilonbacteraeota,EMw8,tubeworm-associated,0.5709
Bacteria-Deltaproteobacteria,EMw8,tubeworm-associated,0.0249
Archaea-Thaumarchaeota,EMw8,tubeworm-associated,0.0005
Archaea-Euryarchaeota,EMw8,tubeworm-associated,0.0282
Bacteria-Patescibacteria,EMw8,tubeworm-associated,0.0561
Bacteria-Chloroflexi,EMw8,tubeworm-associated,0.0194
Eukaryota-Alveolata,EMw8,tubeworm-associated,0.0005
Eukaryota-Rhizaria,EMw8,tubeworm-associated,0.0008
Bacteria,EMw8,tubeworm-associated,0.0413
Bacteria-Actinobacteria,EMw8,tubeworm-associated,0
Bacteria-Proteobacteria,EMw8,tubeworm-associated,0.0013
Bacteria-Betaproteobacteriales,EMw8,tubeworm-associated,0.0001
Eukaryota-Opisthokonta,EMw8,tubeworm-associated,0.0031
Eukaryota,EMw8,tubeworm-associated,0.0012
Archaea-Asgardaeota,EMw8,tubeworm-associated,0.0013
Bacteria-Acidobacteria,EMw8,tubeworm-associated,0.0004
Eukaryota-Amoebozoa,EMw8,tubeworm-associated,0.0004
Bacteria-Aquificae,EMw8,tubeworm-associated,0.0002
Archaea-Crenarchaeota,EMw8,tubeworm-associated,0.0001
Bacteria-Other,EMw8,tubeworm-associated,0.0053
Archaea-Other,EMw8,tubeworm-associated,0.0036
Eukaryota-Other,EMw8,tubeworm-associated,0.0011
Bacteria-Gammaproteobacteria,MVw12,tubeworm-associated,0.112
Bacteria-Alphaproteobacteria,MVw12,tubeworm-associated,0.5708
Bacteria-Bacteroidetes,MVw12,tubeworm-associated,0.1458
Bacteria-Epsilonbacteraeota,MVw12,tubeworm-associated,0.0413
Bacteria-Deltaproteobacteria,MVw12,tubeworm-associated,0.0055
Archaea-Thaumarchaeota,MVw12,tubeworm-associated,0.0024
Archaea-Euryarchaeota,MVw12,tubeworm-associated,0.0042
Bacteria-Patescibacteria,MVw12,tubeworm-associated,0.0761
Bacteria-Chloroflexi,MVw12,tubeworm-associated,0.0012
Eukaryota-Alveolata,MVw12,tubeworm-associated,0.0004
Eukaryota-Rhizaria,MVw12,tubeworm-associated,0.0021
Bacteria,MVw12,tubeworm-associated,0.0135
Bacteria-Actinobacteria,MVw12,tubeworm-associated,0
Bacteria-Proteobacteria,MVw12,tubeworm-associated,0.0111
Bacteria-Betaproteobacteriales,MVw12,tubeworm-associated,0
Eukaryota-Opisthokonta,MVw12,tubeworm-associated,0.0055
Eukaryota,MVw12,tubeworm-associated,0.0007
Archaea-Asgardaeota,MVw12,tubeworm-associated,0.0005
Bacteria-Acidobacteria,MVw12,tubeworm-associated,0.0008
Eukaryota-Amoebozoa,MVw12,tubeworm-associated,0.0015
Bacteria-Aquificae,MVw12,tubeworm-associated,0.0002
Archaea-Crenarchaeota,MVw12,tubeworm-associated,0.0001
Bacteria-Other,MVw12,tubeworm-associated,0.0027
Archaea-Other,MVw12,tubeworm-associated,0.001
Eukaryota-Other,MVw12,tubeworm-associated,0.0006
Bacteria-Gammaproteobacteria,EMw2,tubeworm-associated,0.1464
Bacteria-Alphaproteobacteria,EMw2,tubeworm-associated,0.468
Bacteria-Bacteroidetes,EMw2,tubeworm-associated,0.084
Bacteria-Epsilonbacteraeota,EMw2,tubeworm-associated,0.019
Bacteria-Deltaproteobacteria,EMw2,tubeworm-associated,0.013
Archaea-Thaumarchaeota,EMw2,tubeworm-associated,0.0814
Archaea-Euryarchaeota,EMw2,tubeworm-associated,0.0003
Bacteria-Patescibacteria,EMw2,tubeworm-associated,0.0566
Bacteria-Chloroflexi,EMw2,tubeworm-associated,0.0115
Eukaryota-Alveolata,EMw2,tubeworm-associated,0.0172
Eukaryota-Rhizaria,EMw2,tubeworm-associated,0.002
Bacteria,EMw2,tubeworm-associated,0.0227
Bacteria-Actinobacteria,EMw2,tubeworm-associated,0.0006
Bacteria-Proteobacteria,EMw2,tubeworm-associated,0.0197
Bacteria-Betaproteobacteriales,EMw2,tubeworm-associated,0.0003
Eukaryota-Opisthokonta,EMw2,tubeworm-associated,0.0181
Eukaryota,EMw2,tubeworm-associated,0.0013
Archaea-Asgardaeota,EMw2,tubeworm-associated,0
Bacteria-Acidobacteria,EMw2,tubeworm-associated,0.019
Eukaryota-Amoebozoa,EMw2,tubeworm-associated,0.0017
Bacteria-Aquificae,EMw2,tubeworm-associated,0
Archaea-Crenarchaeota,EMw2,tubeworm-associated,0
Bacteria-Other,EMw2,tubeworm-associated,0.0111
Archaea-Other,EMw2,tubeworm-associated,0
Eukaryota-Other,EMw2,tubeworm-associated,0.0062
Bacteria-Gammaproteobacteria,EMw5,tubeworm-associated,0.1893
Bacteria-Alphaproteobacteria,EMw5,tubeworm-associated,0.3569
Bacteria-Bacteroidetes,EMw5,tubeworm-associated,0.1241
Bacteria-Epsilonbacteraeota,EMw5,tubeworm-associated,0.0226
Bacteria-Deltaproteobacteria,EMw5,tubeworm-associated,0.0162
Archaea-Thaumarchaeota,EMw5,tubeworm-associated,0.1483
Archaea-Euryarchaeota,EMw5,tubeworm-associated,0.0001
Bacteria-Patescibacteria,EMw5,tubeworm-associated,0.0767
Bacteria-Chloroflexi,EMw5,tubeworm-associated,0.0025
Eukaryota-Alveolata,EMw5,tubeworm-associated,0.0088
Eukaryota-Rhizaria,EMw5,tubeworm-associated,0.0042
Bacteria,EMw5,tubeworm-associated,0.0128
Bacteria-Actinobacteria,EMw5,tubeworm-associated,0.0066
Bacteria-Proteobacteria,EMw5,tubeworm-associated,0.0106
Bacteria-Betaproteobacteriales,EMw5,tubeworm-associated,0.0001
Eukaryota-Opisthokonta,EMw5,tubeworm-associated,0.0004
Eukaryota,EMw5,tubeworm-associated,0.0022
Archaea-Asgardaeota,EMw5,tubeworm-associated,0
Bacteria-Acidobacteria,EMw5,tubeworm-associated,0.003
Eukaryota-Amoebozoa,EMw5,tubeworm-associated,0.0009
Bacteria-Aquificae,EMw5,tubeworm-associated,0.0001
Archaea-Crenarchaeota,EMw5,tubeworm-associated,0
Bacteria-Other,EMw5,tubeworm-associated,0.0121
Archaea-Other,EMw5,tubeworm-associated,0
Eukaryota-Other,EMw5,tubeworm-associated,0.0016
Bacteria-Gammaproteobacteria,ECw9,tubeworm-associated,0.0249
Bacteria-Alphaproteobacteria,ECw9,tubeworm-associated,0.0702
Bacteria-Bacteroidetes,ECw9,tubeworm-associated,0.1334
Bacteria-Epsilonbacteraeota,ECw9,tubeworm-associated,0.0234
Bacteria-Deltaproteobacteria,ECw9,tubeworm-associated,0.0486
Archaea-Thaumarchaeota,ECw9,tubeworm-associated,0.0698
Archaea-Euryarchaeota,ECw9,tubeworm-associated,0.4372
Bacteria-Patescibacteria,ECw9,tubeworm-associated,0.0114
Bacteria-Chloroflexi,ECw9,tubeworm-associated,0.0164
Eukaryota-Alveolata,ECw9,tubeworm-associated,0.0118
Eukaryota-Rhizaria,ECw9,tubeworm-associated,0.0017
Bacteria,ECw9,tubeworm-associated,0.0107
Bacteria-Actinobacteria,ECw9,tubeworm-associated,0.0002
Bacteria-Proteobacteria,ECw9,tubeworm-associated,0.0033
Bacteria-Betaproteobacteriales,ECw9,tubeworm-associated,0.0005
Eukaryota-Opisthokonta,ECw9,tubeworm-associated,0.0018
Eukaryota,ECw9,tubeworm-associated,0.0018
Archaea-Asgardaeota,ECw9,tubeworm-associated,0.0684
Bacteria-Acidobacteria,ECw9,tubeworm-associated,0.0014
Eukaryota-Amoebozoa,ECw9,tubeworm-associated,0.0027
Bacteria-Aquificae,ECw9,tubeworm-associated,0
Archaea-Crenarchaeota,ECw9,tubeworm-associated,0.0097
Bacteria-Other,ECw9,tubeworm-associated,0.0023
Archaea-Other,ECw9,tubeworm-associated,0.0466
Eukaryota-Other,ECw9,tubeworm-associated,0.0017
Bacteria-Gammaproteobacteria,ECw10,tubeworm-associated,0.0044
Bacteria-Alphaproteobacteria,ECw10,tubeworm-associated,0.0039
Bacteria-Bacteroidetes,ECw10,tubeworm-associated,0.5158
Bacteria-Epsilonbacteraeota,ECw10,tubeworm-associated,0.2139
Bacteria-Deltaproteobacteria,ECw10,tubeworm-associated,0.0499
Archaea-Thaumarchaeota,ECw10,tubeworm-associated,0.0005
Archaea-Euryarchaeota,ECw10,tubeworm-associated,0.0073
Bacteria-Patescibacteria,ECw10,tubeworm-associated,0.0143
Bacteria-Chloroflexi,ECw10,tubeworm-associated,0.1195
Eukaryota-Alveolata,ECw10,tubeworm-associated,0.0172
Eukaryota-Rhizaria,ECw10,tubeworm-associated,0.0048
Bacteria,ECw10,tubeworm-associated,0.026
Bacteria-Actinobacteria,ECw10,tubeworm-associated,0.0001
Bacteria-Proteobacteria,ECw10,tubeworm-associated,0.0012
Bacteria-Betaproteobacteriales,ECw10,tubeworm-associated,0.0001
Eukaryota-Opisthokonta,ECw10,tubeworm-associated,0.012
Eukaryota,ECw10,tubeworm-associated,0.0007
Archaea-Asgardaeota,ECw10,tubeworm-associated,0.0012
Bacteria-Acidobacteria,ECw10,tubeworm-associated,0.0022
Eukaryota-Amoebozoa,ECw10,tubeworm-associated,0.0001
Bacteria-Aquificae,ECw10,tubeworm-associated,0.0007
Archaea-Crenarchaeota,ECw10,tubeworm-associated,0.0004
Bacteria-Other,ECw10,tubeworm-associated,0.0027
Archaea-Other,ECw10,tubeworm-associated,0.0004
Eukaryota-Other,ECw10,tubeworm-associated,0.0007
Bacteria-Gammaproteobacteria,MVw13,tubeworm-associated,0.0644
Bacteria-Alphaproteobacteria,MVw13,tubeworm-associated,0.1518
Bacteria-Bacteroidetes,MVw13,tubeworm-associated,0.2017
Bacteria-Epsilonbacteraeota,MVw13,tubeworm-associated,0.0769
Bacteria-Deltaproteobacteria,MVw13,tubeworm-associated,0.0452
Archaea-Thaumarchaeota,MVw13,tubeworm-associated,0.0001
Archaea-Euryarchaeota,MVw13,tubeworm-associated,0.0652
Bacteria-Patescibacteria,MVw13,tubeworm-associated,0.0148
Bacteria-Chloroflexi,MVw13,tubeworm-associated,0.217
Eukaryota-Alveolata,MVw13,tubeworm-associated,0.0143
Eukaryota-Rhizaria,MVw13,tubeworm-associated,0.0073
Bacteria,MVw13,tubeworm-associated,0.0328
Bacteria-Actinobacteria,MVw13,tubeworm-associated,0.0003
Bacteria-Proteobacteria,MVw13,tubeworm-associated,0.0059
Bacteria-Betaproteobacteriales,MVw13,tubeworm-associated,0
Eukaryota-Opisthokonta,MVw13,tubeworm-associated,0.0434
Eukaryota,MVw13,tubeworm-associated,0.0086
Archaea-Asgardaeota,MVw13,tubeworm-associated,0.0026
Bacteria-Acidobacteria,MVw13,tubeworm-associated,0.0067
Eukaryota-Amoebozoa,MVw13,tubeworm-associated,0.0057
Bacteria-Aquificae,MVw13,tubeworm-associated,0
Archaea-Crenarchaeota,MVw13,tubeworm-associated,0.001
Bacteria-Other,MVw13,tubeworm-associated,0.0278
Archaea-Other,MVw13,tubeworm-associated,0.0003
Eukaryota-Other,MVw13,tubeworm-associated,0.006
Bacteria-Gammaproteobacteria,EMf3,diffuse fluids,0.4217
Bacteria-Alphaproteobacteria,EMf3,diffuse fluids,0.2867
Bacteria-Bacteroidetes,EMf3,diffuse fluids,0.0067
Bacteria-Epsilonbacteraeota,EMf3,diffuse fluids,0.0021
Bacteria-Deltaproteobacteria,EMf3,diffuse fluids,0.0143
Archaea-Thaumarchaeota,EMf3,diffuse fluids,0.0663
Archaea-Euryarchaeota,EMf3,diffuse fluids,0.0641
Bacteria-Patescibacteria,EMf3,diffuse fluids,0.0004
Bacteria-Chloroflexi,EMf3,diffuse fluids,0
Eukaryota-Alveolata,EMf3,diffuse fluids,0.0681
Eukaryota-Rhizaria,EMf3,diffuse fluids,0.0409
Bacteria,EMf3,diffuse fluids,0.0033
Bacteria-Actinobacteria,EMf3,diffuse fluids,0.0025
Bacteria-Proteobacteria,EMf3,diffuse fluids,0.0112
Bacteria-Betaproteobacteriales,EMf3,diffuse fluids,0.0002
Eukaryota-Opisthokonta,EMf3,diffuse fluids,0.0003
Eukaryota,EMf3,diffuse fluids,0.0007
Archaea-Asgardaeota,EMf3,diffuse fluids,0
Bacteria-Acidobacteria,EMf3,diffuse fluids,0.0001
Eukaryota-Amoebozoa,EMf3,diffuse fluids,0
Bacteria-Aquificae,EMf3,diffuse fluids,0.0001
Archaea-Crenarchaeota,EMf3,diffuse fluids,0
Bacteria-Other,EMf3,diffuse fluids,0.0025
Archaea-Other,EMf3,diffuse fluids,0.0001
Eukaryota-Other,EMf3,diffuse fluids,0.0078
Bacteria-Gammaproteobacteria,EMf11,diffuse fluids,0.3862
Bacteria-Alphaproteobacteria,EMf11,diffuse fluids,0.1064
Bacteria-Bacteroidetes,EMf11,diffuse fluids,0.0356
Bacteria-Epsilonbacteraeota,EMf11,diffuse fluids,0.2293
Bacteria-Deltaproteobacteria,EMf11,diffuse fluids,0.0312
Archaea-Thaumarchaeota,EMf11,diffuse fluids,0.0617
Archaea-Euryarchaeota,EMf11,diffuse fluids,0.0076
Bacteria-Patescibacteria,EMf11,diffuse fluids,0.0433
Bacteria-Chloroflexi,EMf11,diffuse fluids,0.0018
Eukaryota-Alveolata,EMf11,diffuse fluids,0.0227
Eukaryota-Rhizaria,EMf11,diffuse fluids,0.0364
Bacteria,EMf11,diffuse fluids,0.0096
Bacteria-Actinobacteria,EMf11,diffuse fluids,0.0097
Bacteria-Proteobacteria,EMf11,diffuse fluids,0.0061
Bacteria-Betaproteobacteriales,EMf11,diffuse fluids,0.0011
Eukaryota-Opisthokonta,EMf11,diffuse fluids,0.0003
Eukaryota,EMf11,diffuse fluids,0.0003
Archaea-Asgardaeota,EMf11,diffuse fluids,0
Bacteria-Acidobacteria,EMf11,diffuse fluids,0.0003
Eukaryota-Amoebozoa,EMf11,diffuse fluids,0
Bacteria-Aquificae,EMf11,diffuse fluids,0.0001
Archaea-Crenarchaeota,EMf11,diffuse fluids,0.0004
Bacteria-Other,EMf11,diffuse fluids,0.0053
Archaea-Other,EMf11,diffuse fluids,0.0005
Eukaryota-Other,EMf11,diffuse fluids,0.004
Bacteria-Gammaproteobacteria,EMf1,diffuse fluids,0.5014
Bacteria-Alphaproteobacteria,EMf1,diffuse fluids,0.1582
Bacteria-Bacteroidetes,EMf1,diffuse fluids,0.0104
Bacteria-Epsilonbacteraeota,EMf1,diffuse fluids,0.0964
Bacteria-Deltaproteobacteria,EMf1,diffuse fluids,0.0211
Archaea-Thaumarchaeota,EMf1,diffuse fluids,0.0403
Archaea-Euryarchaeota,EMf1,diffuse fluids,0.0133
Bacteria-Patescibacteria,EMf1,diffuse fluids,0.0817
Bacteria-Chloroflexi,EMf1,diffuse fluids,0.0002
Eukaryota-Alveolata,EMf1,diffuse fluids,0.0035
Eukaryota-Rhizaria,EMf1,diffuse fluids,0.0116
Bacteria,EMf1,diffuse fluids,0.0161
Bacteria-Actinobacteria,EMf1,diffuse fluids,0.0213
Bacteria-Proteobacteria,EMf1,diffuse fluids,0.0067
Bacteria-Betaproteobacteriales,EMf1,diffuse fluids,0.0002
Eukaryota-Opisthokonta,EMf1,diffuse fluids,0.0001
Eukaryota,EMf1,diffuse fluids,0.0104
Archaea-Asgardaeota,EMf1,diffuse fluids,0
Bacteria-Acidobacteria,EMf1,diffuse fluids,0.0006
Eukaryota-Amoebozoa,EMf1,diffuse fluids,0
Bacteria-Aquificae,EMf1,diffuse fluids,0.0012
Archaea-Crenarchaeota,EMf1,diffuse fluids,0
Bacteria-Other,EMf1,diffuse fluids,0.0045
Archaea-Other,EMf1,diffuse fluids,0.0001
Eukaryota-Other,EMf1,diffuse fluids,0.0007
Bacteria-Gammaproteobacteria,EMf7,diffuse fluids,0.4477
Bacteria-Alphaproteobacteria,EMf7,diffuse fluids,0.2192
Bacteria-Bacteroidetes,EMf7,diffuse fluids,0.0381
Bacteria-Epsilonbacteraeota,EMf7,diffuse fluids,0.038
Bacteria-Deltaproteobacteria,EMf7,diffuse fluids,0.0754
Archaea-Thaumarchaeota,EMf7,diffuse fluids,0.012
Archaea-Euryarchaeota,EMf7,diffuse fluids,0.0021
Bacteria-Patescibacteria,EMf7,diffuse fluids,0.0193
Bacteria-Chloroflexi,EMf7,diffuse fluids,0.0003
Eukaryota-Alveolata,EMf7,diffuse fluids,0.0216
Eukaryota-Rhizaria,EMf7,diffuse fluids,0.0191
Bacteria,EMf7,diffuse fluids,0.0192
Bacteria-Actinobacteria,EMf7,diffuse fluids,0.0316
Bacteria-Proteobacteria,EMf7,diffuse fluids,0.0102
Bacteria-Betaproteobacteriales,EMf7,diffuse fluids,0.0017
Eukaryota-Opisthokonta,EMf7,diffuse fluids,0.0001
Eukaryota,EMf7,diffuse fluids,0.0001
Archaea-Asgardaeota,EMf7,diffuse fluids,0
Bacteria-Acidobacteria,EMf7,diffuse fluids,0.0014
Eukaryota-Amoebozoa,EMf7,diffuse fluids,0
Bacteria-Aquificae,EMf7,diffuse fluids,0.0342
Archaea-Crenarchaeota,EMf7,diffuse fluids,0
Bacteria-Other,EMf7,diffuse fluids,0.0069
Archaea-Other,EMf7,diffuse fluids,0
Eukaryota-Other,EMf7,diffuse fluids,0.0018
Bacteria-Gammaproteobacteria,MVf12,diffuse fluids,0.2939
Bacteria-Alphaproteobacteria,MVf12,diffuse fluids,0.5417
Bacteria-Bacteroidetes,MVf12,diffuse fluids,0.0671
Bacteria-Epsilonbacteraeota,MVf12,diffuse fluids,0.0289
Bacteria-Deltaproteobacteria,MVf12,diffuse fluids,0.0018
Archaea-Thaumarchaeota,MVf12,diffuse fluids,0.0303
Archaea-Euryarchaeota,MVf12,diffuse fluids,0.0024
Bacteria-Patescibacteria,MVf12,diffuse fluids,0.0089
Bacteria-Chloroflexi,MVf12,diffuse fluids,0.0004
Eukaryota-Alveolata,MVf12,diffuse fluids,0.0056
Eukaryota-Rhizaria,MVf12,diffuse fluids,0.0034
Bacteria,MVf12,diffuse fluids,0.0044
Bacteria-Actinobacteria,MVf12,diffuse fluids,0.0029
